"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Bil21_Eu";"25/09/2026 16:56:23";0,1;1;46290705823,7963
"Tlm_Dos8_Eu";"25/09/2026 16:56:23";4149,7;1;46290705823,7963
"HMI<->PLC_Real{0}";"25/09/2026 16:56:23";1247;1;46290705823,7963
"Tlm_Bil21_Eu";"25/09/2026 16:56:24";0,5;1;46290705835,4051
"Tlm_Dos8_Eu";"25/09/2026 16:56:24";4128,8;1;46290705835,4051
"HMI<->PLC_Real{0}";"25/09/2026 16:56:24";1247;1;46290705835,4051
"Tlm_Bil21_Eu";"25/09/2026 16:56:25";3,3;1;46290705847,0255
"Tlm_Dos8_Eu";"25/09/2026 16:56:25";4195,4;1;46290705847,0255
"HMI<->PLC_Real{0}";"25/09/2026 16:56:25";1247;1;46290705847,0255
"Tlm_Bil21_Eu";"25/09/2026 16:56:26";13,9;1;46290705858,6458
"Tlm_Dos8_Eu";"25/09/2026 16:56:26";4086,7;1;46290705858,6458
"HMI<->PLC_Real{0}";"25/09/2026 16:56:26";1247;1;46290705858,6458
"Tlm_Bil21_Eu";"25/09/2026 16:56:27";30,2;1;46290705870,3241
"Tlm_Dos8_Eu";"25/09/2026 16:56:27";4057,4;1;46290705870,3241
"HMI<->PLC_Real{0}";"25/09/2026 16:56:27";1247;1;46290705870,3241
"Tlm_Bil21_Eu";"25/09/2026 16:56:28";57,7;1;46290705882,662
"Tlm_Dos8_Eu";"25/09/2026 16:56:28";4044,5;1;46290705882,662
"HMI<->PLC_Real{0}";"25/09/2026 16:56:28";1247;1;46290705882,662
"Tlm_Bil21_Eu";"25/09/2026 16:56:29";82,8;1;46290705895,0116
"Tlm_Dos8_Eu";"25/09/2026 16:56:29";4084,4;1;46290705895,0116
"HMI<->PLC_Real{0}";"25/09/2026 16:56:29";1247;1;46290705895,0116
"Tlm_Bil21_Eu";"25/09/2026 16:56:30";125,6;1;46290705907,3495
"Tlm_Dos8_Eu";"25/09/2026 16:56:30";4000,3;1;46290705907,3495
"HMI<->PLC_Real{0}";"25/09/2026 16:56:30";1247;1;46290705907,3495
"Tlm_Bil21_Eu";"25/09/2026 16:56:31";174;1;46290705919,6759
"Tlm_Dos8_Eu";"25/09/2026 16:56:31";3946,9;1;46290705919,6759
"HMI<->PLC_Real{0}";"25/09/2026 16:56:31";1247;1;46290705919,6759
"Tlm_Bil21_Eu";"25/09/2026 16:56:33";278,9;1;46290705932,0139
"Tlm_Dos8_Eu";"25/09/2026 16:56:33";3967,6;1;46290705932,0139
"HMI<->PLC_Real{0}";"25/09/2026 16:56:33";1247;1;46290705932,0139
"Tlm_Bil21_Eu";"25/09/2026 16:56:34";309,6;1;46290705944,3519
"Tlm_Dos8_Eu";"25/09/2026 16:56:34";3806,6;1;46290705944,3519
"HMI<->PLC_Real{0}";"25/09/2026 16:56:34";1247;1;46290705944,3519
"Tlm_Bil21_Eu";"25/09/2026 16:56:35";362,3;1;46290705956,6667
"Tlm_Dos8_Eu";"25/09/2026 16:56:35";3767,2;1;46290705956,6667
"HMI<->PLC_Real{0}";"25/09/2026 16:56:35";1247;1;46290705956,6667
"Tlm_Bil21_Eu";"25/09/2026 16:56:36";392,1;1;46290705969,0162
"Tlm_Dos8_Eu";"25/09/2026 16:56:36";3706,4;1;46290705969,0162
"HMI<->PLC_Real{0}";"25/09/2026 16:56:36";1247;1;46290705969,0162
"Tlm_Bil21_Eu";"25/09/2026 16:56:37";450,8;1;46290705981,412
"Tlm_Dos8_Eu";"25/09/2026 16:56:37";3687,7;1;46290705981,412
"HMI<->PLC_Real{0}";"25/09/2026 16:56:37";1247;1;46290705981,412
"Tlm_Bil21_Eu";"25/09/2026 16:56:38";487,4;1;46290705993,7847
"Tlm_Dos8_Eu";"25/09/2026 16:56:38";3612;1;46290705993,7847
"HMI<->PLC_Real{0}";"25/09/2026 16:56:38";1247;1;46290705993,7847
"Tlm_Bil21_Eu";"25/09/2026 16:56:39";534,7;1;46290706006,1574
"Tlm_Dos8_Eu";"25/09/2026 16:56:39";3559,8;1;46290706006,1574
"HMI<->PLC_Real{0}";"25/09/2026 16:56:39";1247;1;46290706006,1574
"Tlm_Bil21_Eu";"25/09/2026 16:56:40";567,5;1;46290706018,5301
"Tlm_Dos8_Eu";"25/09/2026 16:56:40";3581,7;1;46290706018,5301
"HMI<->PLC_Real{0}";"25/09/2026 16:56:40";1247;1;46290706018,5301
"Tlm_Bil21_Eu";"25/09/2026 16:56:41";628,4;1;46290706030,9259
"Tlm_Dos8_Eu";"25/09/2026 16:56:41";3606,6;1;46290706030,9259
"HMI<->PLC_Real{0}";"25/09/2026 16:56:41";1247;1;46290706030,9259
"Tlm_Bil21_Eu";"25/09/2026 16:56:42";682,9;1;46290706043,287
"Tlm_Dos8_Eu";"25/09/2026 16:56:42";3464,5;1;46290706043,287
"HMI<->PLC_Real{0}";"25/09/2026 16:56:42";1247;1;46290706043,287
"Tlm_Bil21_Eu";"25/09/2026 16:56:43";733,4;1;46290706055,6366
"Tlm_Dos8_Eu";"25/09/2026 16:56:43";3372,3;1;46290706055,6366
"HMI<->PLC_Real{0}";"25/09/2026 16:56:43";1247;1;46290706055,6366
"Tlm_Bil21_Eu";"25/09/2026 16:56:44";787,6;1;46290706067,963
