"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Bil21_Eu";"25/09/2026 15:02:16";-0,1;1;46290626579,5255
"Tlm_Dos8_Eu";"25/09/2026 15:02:16";3853,4;1;46290626579,5255
"HMI<->PLC_Real{0}";"25/09/2026 15:02:16";1247;1;46290626579,5255
"Tlm_Bil21_Eu";"25/09/2026 15:02:17";36,1;1;46290626591,1343
"Tlm_Dos8_Eu";"25/09/2026 15:02:17";3999,2;1;46290626591,1343
"HMI<->PLC_Real{0}";"25/09/2026 15:02:17";1247;1;46290626591,1343
"Tlm_Bil21_Eu";"25/09/2026 15:02:18";88,2;1;46290626602,7315
"Tlm_Dos8_Eu";"25/09/2026 15:02:18";3748,8;1;46290626602,7315
"HMI<->PLC_Real{0}";"25/09/2026 15:02:18";1247;1;46290626602,7315
"Tlm_Bil21_Eu";"25/09/2026 15:02:19";134,7;1;46290626614,3403
"Tlm_Dos8_Eu";"25/09/2026 15:02:19";3688,4;1;46290626614,3403
"HMI<->PLC_Real{0}";"25/09/2026 15:02:19";1247;1;46290626614,3403
"Tlm_Bil21_Eu";"25/09/2026 15:02:20";194,4;1;46290626625,9606
"Tlm_Dos8_Eu";"25/09/2026 15:02:20";3645,6;1;46290626625,9606
"HMI<->PLC_Real{0}";"25/09/2026 15:02:20";1247;1;46290626625,9606
"Tlm_Bil21_Eu";"25/09/2026 15:02:21";255,5;1;46290626637,5926
"Tlm_Dos8_Eu";"25/09/2026 15:02:21";3653,2;1;46290626637,5926
"HMI<->PLC_Real{0}";"25/09/2026 15:02:21";1247;1;46290626637,5926
"Tlm_Bil21_Eu";"25/09/2026 15:02:22";344,6;1;46290626649,213
"Tlm_Dos8_Eu";"25/09/2026 15:02:22";3563,5;1;46290626649,213
"HMI<->PLC_Real{0}";"25/09/2026 15:02:22";1247;1;46290626649,213
"Tlm_Bil21_Eu";"25/09/2026 15:02:23";424,8;1;46290626660,8449
"Tlm_Dos8_Eu";"25/09/2026 15:02:23";3419,8;1;46290626660,8449
"HMI<->PLC_Real{0}";"25/09/2026 15:02:23";1247;1;46290626660,8449
